Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.80122982527309E-05,0.00268113709179614,0.0437561412092237,0,0,0,5.83594079476047,0.0262320570286846,2.82877643144792E-06,1.51090613026226E-09,0.0221066318668786,1.64817571323087E-09,0.0463251880864419,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/base_link.STL,,Part1^Assem1-1;2020-8;2020-14;2020-4;2020-1;2020-2;2020-9;2020-13;2020-10;2020-12;2020-3;V2_Swerve-4/Housing-1;V2_Swerve-3/Housing-1;V2_Swerve-2/Housing-1;V2_Swerve-1/Housing-1;V2_Swerve-4/Odrive Mount^V2_Swerve-1;V2_Swerve-3/MotorSet^V2_Swerve-1/Short_Motor_Mount-1;V2_Swerve-3/MotorSet^V2_Swerve-2/Short_Motor_Mount-1;V2_Swerve-4/MotorSet^V2_Swerve-2/Short_Motor_Mount-1;V2_Swerve-4/MotorSet^V2_Swerve-1/Top^MotorSet_V2_Swerve-1;V2_Swerve-4/MotorSet^V2_Swerve-2/Top^MotorSet_V2_Swerve-1;V2_Swerve-3/MotorSet^V2_Swerve-1/Top^MotorSet_V2_Swerve-1;V2_Swerve-3/MotorSet^V2_Swerve-2/Top^MotorSet_V2_Swerve-1;V2_Swerve-3/MotorSet^V2_Swerve-2/Motor-1/base-1;V2_Swerve-3/MotorSet^V2_Swerve-2/Motor-1/Lid-1;V2_Swerve-3/MotorSet^V2_Swerve-1/Motor-1/base-1;V2_Swerve-3/MotorSet^V2_Swerve-1/Motor-1/Lid-1;V2_Swerve-4/MotorSet^V2_Swerve-2/Motor-1/base-1;V2_Swerve-4/MotorSet^V2_Swerve-2/Motor-1/Lid-1;V2_Swerve-4/MotorSet^V2_Swerve-1/Motor-1/base-1;V2_Swerve-4/MotorSet^V2_Swerve-1/Motor-1/Lid-1;V2_Swerve-4/MotorSet^V2_Swerve-1/Short_Motor_Mount-1;V2_Swerve-4/Lazy-1/Outer-1;V2_Swerve-4/LimitPusher-1;V2_Swerve-4/pullyNew-2;V2_Swerve-4/pullyNew-5;V2_Swerve-1/MotorSet^V2_Swerve-1/Short_Motor_Mount-1;V2_Swerve-1/MotorSet^V2_Swerve-1/Top^MotorSet_V2_Swerve-1;V2_Swerve-1/MotorSet^V2_Swerve-1/Motor-1/base-1;V2_Swerve-1/MotorSet^V2_Swerve-2/Short_Motor_Mount-1;V2_Swerve-1/MotorSet^V2_Swerve-2/Top^MotorSet_V2_Swerve-1;V2_Swerve-1/MotorSet^V2_Swerve-2/Motor-1/base-1;V2_Swerve-1/MotorSet^V2_Swerve-2/Motor-1/Lid-1;V2_Swerve-1/MotorSet^V2_Swerve-1/Motor-1/Lid-1;V2_Swerve-1/Lazy-1/Outer-1;V2_Swerve-1/LimitPusher-1;V2_Swerve-1/pullyNew-2;V2_Swerve-1/pullyNew-5;V2_Swerve-1/Odrive Mount^V2_Swerve-1;2020-6;2020-5;2020-15;2020-11;2020-7;2020-17;2020-16;2020-18;V2_Swerve-3/Odrive Mount^V2_Swerve-1;V2_Swerve-2/Odrive Mount^V2_Swerve-1;V2_Swerve-3/Lazy-1/Outer-1;V2_Swerve-3/LimitPusher-1;V2_Swerve-3/pullyNew-2;V2_Swerve-3/pullyNew-5;V2_Swerve-2/pullyNew-5;V2_Swerve-2/LimitPusher-1;V2_Swerve-2/Lazy-1/Outer-1;V2_Swerve-2/pullyNew-2;V2_Swerve-2/MotorSet^V2_Swerve-1/Short_Motor_Mount-1;V2_Swerve-2/MotorSet^V2_Swerve-1/Top^MotorSet_V2_Swerve-1;V2_Swerve-2/MotorSet^V2_Swerve-1/Motor-1/Lid-1;V2_Swerve-2/MotorSet^V2_Swerve-1/Motor-1/base-1;V2_Swerve-2/MotorSet^V2_Swerve-2/Short_Motor_Mount-1;V2_Swerve-2/MotorSet^V2_Swerve-2/Top^MotorSet_V2_Swerve-1;V2_Swerve-2/MotorSet^V2_Swerve-2/Motor-1/Lid-1;V2_Swerve-2/MotorSet^V2_Swerve-2/Motor-1/base-1;SensorAssembly^Assem1-1/Base^SensorAssembly_Assem1-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Revolve1,-0.00203157253473932,-3.3257002236553E-06,-0.146515511784745,0,0,0,0.26996802034521,0.000817081008544826,1.43755452488312E-06,5.94712654175265E-08,0.000962909407158132,1.19067342375248E-06,0.000432508914878457,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve1.STL,,"V2_Swerve-2/Assem1^V2_Swerve-1/Wheel-Mountv2-2;V2_Swerve-2/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-4;V2_Swerve-2/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-2;V2_Swerve-2/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-3;V2_Swerve-2/Belt^V2_Swerve-1;V2_Swerve-2/Assem1^V2_Swerve-1/15T Steel Bevel Gear (12 DP, 1_2 Hex Bore) (217-5907) (1).step-1",R1_CS,R1,Joint_Revolve1,continuous,0.142934293002077,0.162809949770145,0.0808865217165859,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Drive1,-0.0595900865520644,0.00103045575495944,0.000120396514376397,0,0,0,0.968781681350827,0.00433308692834699,-1.99069564081483E-05,1.18928999632542E-07,0.0023145060676988,-8.12871262199869E-08,0.00231372917988357,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive1.STL,,V2_Swerve-2/Assem1^V2_Swerve-1/Wheel.step-1;V2_Swerve-2/Assem1^V2_Swerve-1/Wheel INterior.step-2;V2_Swerve-2/Assem1^V2_Swerve-1/Wheel INterior.step-3;V2_Swerve-2/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-1;V2_Swerve-2/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-2;V2_Swerve-2/Assem1^V2_Swerve-1/pullyNew-2,D1_CS,D1,Joint_Drive1,continuous,0.0582113596874176,-0.000889147356134073,-0.237077064343304,0,0,0,Revolve1,-0.999951327239453,0.0098662633279638,0,0,0,0,0,,,,,,,,
Revolve2,0.00369564587521401,9.94381063517957E-05,-0.14554695452501,0,0,0,0.278169943270249,0.000818393002551496,1.0906620321178E-06,-4.70925775856809E-08,0.000964158396336435,8.330325220129E-08,0.000433636015059848,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve2.STL,,"V2_Swerve-1/Assem1^V2_Swerve-1/Wheel-Mountv2-2;V2_Swerve-1/Assem1^V2_Swerve-1/pullyNew-1;V2_Swerve-1/Belt^V2_Swerve-1;V2_Swerve-1/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-2;V2_Swerve-1/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-4;V2_Swerve-1/Assem1^V2_Swerve-1/15T Steel Bevel Gear (12 DP, 1_2 Hex Bore) (217-5907) (1).step-1",R2_CS,R2,Joint_Revolve2,continuous,0.142366067810622,-0.162810625283319,0.0808865217165886,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Drive2,-0.0604042563748639,1.00501994926006E-05,0.000120396499160763,0,0,0,0.968781685280358,0.00433317009545423,-1.51130610426148E-05,-1.19121259095147E-07,0.00231442290382323,8.10046961055835E-08,0.00231372918105276,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive2.STL,,V2_Swerve-1/Assem1^V2_Swerve-1/Wheel.step-1;V2_Swerve-1/Assem1^V2_Swerve-1/Wheel INterior.step-2;V2_Swerve-1/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-1;V2_Swerve-1/Assem1^V2_Swerve-1/pullyNew-2;V2_Swerve-1/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-2;V2_Swerve-1/Assem1^V2_Swerve-1/Wheel INterior.step-3,D2_CS,D2,Joint_Drive2,continuous,0.0617833347446545,-0.000148083201917115,-0.237077064343308,0,0,0,Revolve2,0.999971937783406,-0.00749157164416232,0,0,0,0,0,,,,,,,,
Revolve3,-0.145078348740283,0.000298264757163519,-0.00416215996009126,0,0,0,0.282156111545984,0.000434125726646059,2.26740392878708E-06,2.46147953855087E-08,0.000964214819932212,-1.47963647126638E-06,0.000818912285874927,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve3.STL,,"V2_Swerve-4/Assem1^V2_Swerve-1/Wheel-Mountv2-2;V2_Swerve-4/Assem1^V2_Swerve-1/15T Steel Bevel Gear (12 DP, 1_2 Hex Bore) (217-5907) (1).step-1;V2_Swerve-4/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-2;V2_Swerve-4/Belt^V2_Swerve-1;V2_Swerve-4/Assem1^V2_Swerve-1/pullyNew-1;V2_Swerve-4/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-4;V2_Swerve-4/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-3",R3_CS,R3,Joint_Revolve3,continuous,-0.142934337601559,-0.162809870489869,0.0808865217165859,3.14159265358979,-1.5707963267949,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Drive3,0.00012039651646828,0.000173152781060726,0.0604040240679212,0,0,0,0.968781680813742,0.00231372917972381,8.13257654301477E-08,1.1890262017798E-07,0.00231451922820414,2.05633802827414E-05,0.00433307376740015,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive3.STL,,V2_Swerve-4/Assem1^V2_Swerve-1/Wheel.step-1;V2_Swerve-4/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-1;V2_Swerve-4/Assem1^V2_Swerve-1/pullyNew-2;V2_Swerve-4/Assem1^V2_Swerve-1/Wheel INterior.step-2;V2_Swerve-4/Assem1^V2_Swerve-1/Wheel INterior.step-3;V2_Swerve-4/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-2,D3_CS,D3,Joint_Drive3,continuous,-0.237077064343304,-0.000314896345636445,-0.0617826975095977,0,0,0,Revolve3,0,-0.0101914398562096,-0.999948065928255,0,0,0,0,,,,,,,,
Revolve4,-0.00369447983778617,-5.57141729288224E-05,-0.145545341192344,0,0,0,0.278169949354846,0.000818395728366805,-1.00119769955746E-06,4.24905936666421E-08,0.000964130017408441,8.9761506571256E-07,0.000433670847908861,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Revolve4.STL,,"V2_Swerve-3/Assem1^V2_Swerve-1/Wheel-Mountv2-2;V2_Swerve-3/Belt^V2_Swerve-1;V2_Swerve-3/Assem1^V2_Swerve-1/15T Steel Bevel Gear (12 DP, 1_2 Hex Bore) (217-5907) (1).step-1;V2_Swerve-3/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-2;V2_Swerve-3/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-4;V2_Swerve-3/Assem1^V2_Swerve-1/pullyNew-1",R4_CS,R4,Joint_Revolve4,continuous,-0.14236842293664,0.162814683931788,0.0808865217165862,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Drive4,-0.0622112205431674,4.79255844326731E-06,0.000114732036940929,0,0,0,0.850687527986547,0.00415798393864942,1.31982957892881E-05,7.75917649713274E-08,0.00221684368675787,-2.11694871406755E-07,0.00221655869094812,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Drive4.STL,,V2_Swerve-3/Assem1^V2_Swerve-1/Wheel.step-1;V2_Swerve-3/Assem1^V2_Swerve-1/Wheel INterior.step-2;V2_Swerve-3/Assem1^V2_Swerve-1/Hex Shaft^Assem1_V2_Swerve-1;V2_Swerve-3/Assem1^V2_Swerve-1/pullyNew-2;V2_Swerve-3/Assem1^V2_Swerve-1/0.500 Hex ID x 1.125 OD x 0.313 WD (Flanged Bearing v2) (217-3875).step-2,D4_CS,D4,Joint_Drive4,continuous,0.0582180879812486,8.49204713872509E-05,-0.237077064343304,0,0,0,Revolve4,-0.999976432452814,-0.00686545984934792,0,0,0,0,0,,,,,,,,
Camera_pivot,-0.0555938677541015,-0.000242330848978831,-0.00329123732557138,0,0,0,1.28786623127725,0.000117585603142808,7.73537803843833E-07,1.1315000572726E-05,0.00079491757869897,-6.69201512905299E-07,0.000787867424546528,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Camera_pivot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assem1.SLDASM/meshes/Camera_pivot.STL,,SensorAssembly^Assem1-1/Copy of Copy of BaseMount^SensorAssembly_Assem1-1;SensorAssembly^Assem1-1/D435_Solid-1,Camera_pivot,Axis1,Camera_pivot,revolute,0.05435,0.23015,0.06,1.5708,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
